xcc,ycc,ideg_cc,Wdeg_cc,sx,sy,rhoxy,sigx_68_deg,sigx_95_deg,sigx_997_deg,sigy_68_deg,sigy_95_deg,sigy_997_deg,sigi_68_deg,sigi_95_deg,sigi_997_deg,sigW_68_deg,sigW_95_deg,sigW_997_deg
-0.006813260047497854,0.03325392167879615,1.9452627185355331,101.57885291315102,0.0011775674728199046,0.0014150012108686562,0.051208083213476994,0.1018517027311692,0.16514883878848094,0.22997499780393318,0.12238808154818279,0.19844790716229377,0.2763451665475513,0.1206602957133106,0.1956441003227064,0.2724380186630805,3.0660551263811797,4.979609090389566,6.951488210736578
-0.006557561834939758,0.03312484723237593,1.9351141924661581,101.19777872838104,0.001170481128078238,0.0013988621971483585,0.0721366534589987,0.10123861704910733,0.16415474091931553,0.22859068141270708,0.12099212592569099,0.19618440941811097,0.27319316066815047,0.11896547692212944,0.1928966954117668,0.26861025022744267,3.073629396666689,4.991646664470331,6.96774151854936
-0.0065347714010128965,0.03294634745418652,1.9248223188303644,101.2187731478938,0.0011708493913899914,0.001388120405055949,0.09629979959384287,0.10127059945012841,0.1642065993090496,0.22866289605028586,0.12006303626527635,0.19467792012172974,0.2710953177926117,0.11758455418861713,0.190656579069588,0.26549090369638784,3.105513373787069,5.043140498942847,7.039018626150984
-0.006491849997688527,0.03293434476869633,1.9236700018944255,101.15089831003385,0.0011785761570215442,0.0013783496006504264,0.11771107436442974,0.10193880730265588,0.16529007593195483,0.23017167551953863,0.11921747856124218,0.193306875304948,0.26918608659043297,0.1163707505889422,0.18868796612292604,0.2627483917898493,3.1381476650051567,5.095722374263019,7.111512320740836
-0.006321680868556508,0.03305638992370719,1.9286788190881923,100.82648411426159,0.001189091678110274,0.00136699410930139,0.13877685643621473,0.10284846925438436,0.166765062337882,0.23222564631537063,0.11823582804405128,0.19171516042334533,0.26696956424859297,0.11511640946249047,0.18665447968635362,0.25991680527921457,3.163982650871631,5.137182940828659,7.16830971862656
-0.006113657033750418,0.03313773135835535,1.9310599461792823,100.45309042053282,0.0011995244482608323,0.0013495820960582852,0.15590770420856986,0.10375049314766382,0.1682276639553216,0.23426237099743785,0.11672959325233767,0.18927284911556688,0.2635685550326828,0.11345585976223993,0.1839623790470174,0.2561688264179206,3.18927435178891,5.177659183190961,7.223539369207096
-0.005784568161729157,0.03305881026597547,1.9232694631017435,99.92502860408344,0.0012018316893640652,0.0013209371938817747,0.16776269866288757,0.1039503348340487,0.16855170058471525,0.23471360352817006,0.11425196532463908,0.1852554555184583,0.25797418619802426,0.11101323771875182,0.18000237331107238,0.2506556846502065,3.204299771615702,5.201436234495731,7.255433096484012
-0.0055462359441186375,0.0329198721280804,1.9131068340584934,99.56320452248958,0.0012042068774578934,0.001293252553010087,0.17473101873819508,0.10415551833530863,0.1688843987922456,0.2351768976218406,0.11185743647736797,0.18137280493056332,0.25256745310816514,0.10868427255219437,0.17622671573156679,0.2453993822757532,3.2228188697817046,5.230931902630125,7.2953789445977435
-0.005377307003486955,0.03285200766384909,1.90768225410822,99.29589709123651,0.0012092647407784885,0.001273340509760968,0.18046214704738636,0.1045930248089918,0.16959380096689902,0.23616476542032935,0.11013530431644408,0.17858042400387922,0.24867896111172946,0.10699828538064415,0.1734935185532116,0.24159451735024373,3.2418770429605743,5.26139697957111,7.336842488167598
-0.005215014981551992,0.032755322693283774,1.9007275289766725,99.0462059833576,0.0012144830710165175,0.0012525492495319122,0.18610075745557386,0.10504465554125579,0.17032610517329116,0.23718452514949628,0.1083369953639331,0.17566452518367542,0.2446184665482944,0.10523321060968782,0.1706323036742563,0.2376118282193337,3.264139340901714,5.297038134804389,7.385502178389942
-0.005212929769846004,0.03267858475721984,1.8963643631797853,99.06353110817132,0.0012280917306035108,0.0012348617186407438,0.1907368626131822,0.10622171851996842,0.17223467371302606,0.239842275092352,0.10680679870905577,0.173183361858076,0.2411633573526747,0.10364965226884393,0.16806545443978516,0.23403911503613584,3.30614743995568,5.364599626216446,7.478386190591195
-0.0050435665870229044,0.03265345272996976,1.8934352654749584,98.78036977774408,0.001237999351765694,0.001211611511476951,0.1882337995637733,0.10707866217642126,0.17362417947457368,0.24177721171172553,0.10479623473550573,0.16992329909971962,0.23662360331920107,0.10182165701884882,0.16510204580942667,0.22991382014609274,3.3293162015586546,5.401563481223235,7.528638255057274
-0.004811429930366298,0.032591827000718575,1.8879545807520959,98.39774211647465,0.0012437644620353155,0.0011860937712165264,0.18234100673818548,0.10757682202024843,0.17443192919400036,0.24290203223414017,0.10258894142456186,0.16634424664195482,0.23163964554408095,0.09988169042281492,0.16195674949264172,0.22553460891114518,3.3442987289066863,5.425308760873399,7.560546194120768
-0.004470248836787325,0.03250379456285597,1.8801977163901926,97.83076689127122,0.001242114879321774,0.0011562723286490228,0.16953988087637298,0.10743460806843187,0.17420133397001536,0.2425809200903674,0.10000972434671851,0.16216213271428281,0.2258159043087403,0.09772016233157022,0.1584517632254704,0.22065344587924696,3.340336787634783,5.418409506205073,7.5499143395252375
-0.004125806660809292,0.03228185341847633,1.8649881653568747,97.28324604784893,0.0012315144531912122,0.001126566003903149,0.15547529430381649,0.10651755483298045,0.1727143624909387,0.240510258908678,0.09743999178241095,0.15799539813941216,0.22001358048863953,0.09554218791082558,0.15492002958137652,0.21573493653369447,3.3274873312513193,5.397242062299988,7.519745036227761
-0.004043613936848842,0.03203005147970316,1.8500747099013517,97.19520630361177,0.0012286262421977415,0.0011063419889203038,0.14238227634962708,0.10626769620803543,0.17230922501009346,0.23994609044456067,0.09569088437968318,0.15515927984906303,0.21606418707149036,0.0940201481946068,0.15245191269053815,0.2122969853895913,3.3394326472284064,5.416315372991669,7.545675376139336
-0.003973523570811312,0.03187695350891858,1.8408664148052063,97.10537901529744,0.0012295234945527346,0.0010906025912772856,0.12975745409865272,0.10634548383491718,0.17243535506888014,0.24012173107130896,0.09432939262701177,0.1529516673432162,0.2129900101760591,0.09286791370756087,0.15058290049007805,0.20969420958568297,3.35209163071125,5.436565941274068,7.5732987010030115
