laplacex,laplacey,laplaceB
-0.003955023811348235,0.02210778298780484,-0.00021318545760863874
-0.004102824043005247,0.02198449917542135,-0.00021289541027065274
-0.004209547618857841,0.021883519146096136,-0.0002133530889318535
-0.004342283981629885,0.021813476801762433,-0.00021323312367634744
-0.004490126471553262,0.021738896389509658,-0.00021270106576020534
-0.004664047379102908,0.021644026733275454,-0.00021265523864082513
-0.004790072734048512,0.021546712324535446,-0.00021320104318254602
-0.00492530430962929,0.021491687386770226,-0.00021348346834652363
-0.005072524129439121,0.02143949837857246,-0.00021331486631026187
-0.00526343396763417,0.021375892075559087,-0.00021286873268235227
-0.0054073404497122675,0.021286721090696657,-0.00021271063140152773
-0.0055519671775082,0.0212232789522977,-0.00021253888331178465
-0.005707839912497558,0.021197163643578508,-0.00021308327169312935
-0.005890901775929669,0.02114327296242896,-0.0002133959361022981
-0.006051315002678806,0.021082748477943183,-0.00021283517301509474
-0.006201424285155956,0.021011824390392994,-0.0002126734146927398
-0.006350786935689907,0.02099700981587044,-0.0002133380671349417
-0.006527962870892984,0.020971468386749875,-0.0002135846722753669
-0.006704820675804316,0.0209371676042582,-0.00021308804665413797
-0.006877455958061874,0.02088180093297636,-0.00021259456365421106
-0.007018434567405569,0.020871842425495914,-0.00021283240612940017
-0.007190228281728015,0.020873156811864118,-0.00021336017963517488
-0.007367924933087772,0.020872243791098692,-0.00021347976359531427
-0.007562076173044637,0.020836112239158454,-0.00021293142251215148
-0.0077037141421115295,0.02082776977931605,-0.0002128035677812611
-0.00786443637619009,0.020831974604023293,-0.0002124363661486623
-0.008066931131315607,0.020860012198335588,-0.0002127283380363916
-0.008244747858452198,0.020843025529092795,-0.0002131591589801109
-0.008403703363017875,0.020840106926451885,-0.00021317181447073286
-0.008546834573850423,0.020849140225134344,-0.0002132135114189403
-0.00873457949240404,0.020894650207367554,-0.00021323238897825745
-0.008915358699654543,0.02090608188313809,-0.00021286810361060014
-0.009084947733703604,0.020919722763006496,-0.0002128242409554082
-0.009231808166035995,0.020936720590239547,-0.00021313794049111274
-0.009394395257110782,0.0210040638126624,-0.00021337465635681735
-0.00956979197858246,0.021045073849894902,-0.00021289594757184166
-0.009743147363963625,0.02108709815314143,-0.00021283520704366027
-0.009896636568076668,0.021109003889271248,-0.00021328962067671008
-0.010041970490135724,0.021183685314662727,-0.00021352814994670985
-0.01020221009980888,0.021246872509036497,-0.00021239858629916507
-0.010403076280261795,0.021302722316848308,-0.00021218470116573786
-0.010543512405898757,0.021348310402706003,-0.00021317008898186576
-0.010683391873126741,0.0214096029910264,-0.0002136130764794782
-0.01082169666343397,0.021497268447043073,-0.0002131856200024226
-0.011008382851233553,0.02157343532143139,-0.0002129299871857458
-0.011154133603374894,0.021633880839951172,-0.00021314483293848461
-0.01128921980384116,0.021704024518441115,-0.00021327598368609836
-0.011409602431127933,0.02180218192387739,-0.00021302958433614373
-0.011573724326398622,0.021912165688874784,-0.00021298191501752204
-0.011713211529384496,0.021994324923700893,-0.0002131193543860557
-0.011847324245275246,0.022079302420304495,-0.0002132785216970593
-0.011951635676038805,0.022179818795080325,-0.0002130270208365998
-0.012092513354484188,0.022307019230602968,-0.0002130837227888243
-0.012227330620625317,0.02241860346709994,-0.000212630349580021
-0.012370256449317938,0.022504374379971197,-0.0002124798985687867
-0.012470428609822885,0.02262141887546852,-0.00021304689912265626
-0.012579608109099359,0.022739062906686543,-0.00021314782512900878
-0.012705652313491248,0.0228796751355278,-0.0002130532799320084
